10	28	22	25	24
17	18	19	10	28
20	28	11	27	14
8	6	7	16	28
13	1	27	30	26
22	2	16	20	11
20	20	25	12	4
1	23	3	8	27
6	20	14	11	18
12	20	4	10	27
26	18	1	9	10
21	6	22	12	10
18	17	6	25	15
24	6	4	28	13
23	19	15	18	25
18	3	10	4	22
3	22	5	10	2
16	9	18	30	4
12	8	18	18	6
23	26	30	29	20
10	5	29	10	28
17	16	26	4	30
22	22	26	19	17
24	17	12	11	7
15	21	21	19	24
17	7	26	10	28
15	1	22	23	3
17	13	20	13	27
1	18	27	15	22
18	10	29	1	22
12	9	27	26	25
4	19	22	16	22
24	6	29	5	23
15	6	12	24	7
30	22	25	28	22
27	16	24	1	14
18	14	9	9	14
7	27	7	5	29
9	27	6	1	21
3	18	20	17	11
8	10	15	14	2
2	10	27	25	26
13	24	3	17	27
18	19	25	10	23
18	4	25	6	17
26	19	28	26	3
25	18	11	19	19
7	6	24	18	12
13	29	30	19	17
16	9	3	22	25
14	21	28	9	23
29	29	5	29	6
27	17	30	11	15
18	29	23	22	3
3	28	11	18	21
26	12	29	11	4
29	17	8	23	17
23	19	15	10	12
23	7	26	11	3
12	26	19	25	30
29	18	2	22	17
2	17	14	26	14
16	12	14	20	30
8	8	13	29	1
5	11	25	19	30
1	18	14	15	5
26	22	11	19	12
17	14	6	19	18
25	30	29	21	16
7	30	14	8	13
27	9	21	15	11
5	14	16	21	28
9	17	28	21	30
23	26	20	26	24
8	1	1	4	12
10	25	28	7	8
29	5	15	8	15
9	27	11	16	26
1	18	6	22	16
29	17	20	1	22
4	21	27	17	12
1	14	4	1	21
2	25	13	24	1
25	28	21	22	11
27	13	28	14	24
23	29	4	19	29
26	9	24	15	16
4	3	16	24	17
3	25	20	22	2
3	23	17	7	15
15	26	22	9	18
10	8	24	23	12
14	21	21	1	1
29	5	5	26	21
30	25	14	24	28
9	11	22	15	25
28	10	9	18	6
16	21	6	6	7
4	24	3	18	25
16	12	12	26	12
9	10	22	20	7
10	27	30	22	4
10	4	3	22	19
17	14	11	24	23
12	18	21	23	29
3	5	4	3	8
24	20	14	13	23
3	19	10	28	1
30	22	1	6	5
19	14	11	13	26
6	21	12	28	8
27	4	10	8	20
11	3	22	9	22
12	26	25	18	7
11	3	23	16	27
6	8	28	21	29
8	9	18	9	28
21	2	14	22	15
22	13	5	7	7
17	3	13	11	20
14	3	10	3	30
12	22	24	9	7
11	15	2	4	13
23	16	9	16	17
3	14	2	25	2
4	1	2	23	30
4	12	1	20	7
12	23	8	1	16
14	23	20	9	12
24	20	23	14	21
11	2	16	1	24
28	27	4	19	13
28	5	23	24	21
19	21	27	10	8
19	24	29	3	15
1	25	24	12	22
25	21	26	6	15
17	1	21	1	28
21	9	4	21	19
22	15	17	24	7
10	2	8	14	2
28	2	9	27	4
10	19	10	13	7
12	28	2	27	4
28	28	6	25	11
23	16	16	29	28
1	24	10	6	25
21	10	25	14	29
11	19	11	19	5
7	7	4	17	19
4	8	23	18	4
9	3	4	10	19
14	7	20	13	15
28	17	9	13	13
7	19	29	15	2
17	8	21	5	27
15	15	5	10	1
16	8	3	23	10
8	29	27	10	24
20	2	24	20	6
29	25	8	13	4
9	30	28	28	1
21	16	20	17	10
8	5	22	22	7
19	17	14	23	3
16	24	29	9	27
12	28	7	25	19
8	6	10	6	2
2	2	9	14	1
6	16	22	3	4
7	24	26	1	29
18	27	22	2	19
10	30	2	9	2
7	26	4	17	7
26	12	16	18	5
6	22	23	12	6
9	1	27	15	6
16	24	29	7	16
17	2	2	8	29
6	10	27	22	25
14	14	23	30	27
14	9	21	24	29
5	24	14	18	30
15	2	23	5	16
26	15	12	12	14
7	27	24	9	25
5	29	30	18	13
9	7	3	5	9
18	4	29	5	30
13	30	14	3	9
18	13	23	22	9
23	7	25	12	9
11	12	11	3	4
23	11	27	3	27
18	13	17	30	10
22	17	29	3	3
24	11	9	4	30
12	30	23	10	3
27	2	15	18	18
12	2	24	14	12
8	20	17	13	22
26	11	29	3	17
18	23	5	9	29
6	19	19	12	13
21	5	5	12	24
27	16	4	24	27
26	9	16	13	5
29	7	6	29	19
23	30	19	12	18
25	22	17	26	25
6	14	16	28	6
7	5	15	21	12
15	21	29	14	3
4	10	2	2	15
23	21	16	26	27
26	19	3	26	30
15	14	23	18	12
3	12	22	11	8
23	7	20	2	3
12	11	25	26	26
9	21	24	6	17
2	20	4	14	4
13	1	30	30	5
10	13	22	4	8
17	7	21	30	10
22	15	10	28	5
7	28	25	23	27
13	10	27	29	23
18	25	22	13	6
18	12	29	19	16
19	25	25	28	21
1	4	14	28	5
27	7	25	26	14
16	14	27	22	5
17	7	4	26	22
25	23	26	8	3
20	28	27	22	13
27	15	10	24	4
6	18	6	5	12
13	1	18	16	17
28	23	1	10	5
9	25	11	2	5
9	9	7	1	1
23	20	1	17	10
21	15	13	17	21
5	8	30	20	21
19	14	20	12	19
21	23	28	28	2
7	1	29	17	3
13	1	18	10	26
27	12	15	7	28
3	4	1	21	8
14	7	24	2	26
2	12	3	17	3
30	12	19	5	2
8	11	11	3	11
7	2	29	8	25
8	5	24	30	21
17	12	27	16	29
1	13	7	12	15
22	3	3	11	5
13	7	11	13	12
7	3	14	19	10
1	22	12	21	27
21	6	3	27	19
